 Aguascalientes,KIA ALTARIA,,,,,,1,KIA ALTARIA
 Baja California,KIA INNOVA,,,,,,2,KIA INNOVA
 Baja California,KIA FUTURA,,,,,,3,KIA FUTURA
 Baja California,KIA VISIÓN,,,,,,4,KIA VISIÓN
 Baja California Sur,KIA CABOS,,,,,,5,KIA CABOS
 Baja California Sur,KIA BAJA SUR,,,,,,6,KIA BAJA SUR
 Campeche,KIA BAHÍA,,,,,,7,KIA BAHÍA
 Chiapas,KIA SURESTE,,,,,,8,KIA SURESTE
 Chihuahua,KIA JUVENTUD,,,,,,9,KIA JUVENTUD
 Chihuahua,KIA JUÁREZ,,,,,,10,KIA JUÁREZ
 Ciudad de México,KIA MARIANO ESCOBEDO,,,,,,11,KIA MARIANO ESCOBEDO
 Ciudad de México,KIA AEROPUERTO,,,,,,12,KIA AEROPUERTO
 Ciudad de México,KIA COAPA,,,,,,13,KIA COAPA
 Ciudad de México,KIA SANTA FE,,,,,,14,KIA SANTA FE
 Ciudad de México,KIA TLÁHUAC,,,,,,15,KIA TLÁHUAC
 Ciudad de México,KIA IZTAPALAPA,,,,,,16,KIA IZTAPALAPA
 Ciudad de México,KIA DEL VALLE,,,,,,17,KIA DEL VALLE
 Ciudad de México,KIA VALLEJO,,,,,,18,KIA VALLEJO
 Ciudad de México,KIA SAN JOAQUÍN,,,,,,19,KIA SAN JOAQUÍN
 Ciudad de México,KIA PEDREGAL,,,,,,20,KIA PEDREGAL
 Ciudad de México,KIA DIVISIÓN DEL NORTE,,,,,,21,KIA DIVISIÓN DEL NORTE
 Coahuila,KIA MAX,,,,,,22,KIA MAX
 Coahuila,KIA LAGUNA,,,,,,23,KIA LAGUNA
 Coahuila,KIA PAPE,,,,,,24,KIA PAPE
 Colima,KIA LAS BRISAS,,,,,,25,KIA LAS BRISAS
 Colima,KIA COLIMÁN,,,,,,26,KIA COLIMÁN
 Durango,KIA GUADIANA,,,,,,27,KIA GUADIANA
 Estado de México,KIA INTERLOMAS,,,,,,28,KIA INTERLOMAS
 Estado de México,KIA CUAUTITLÁN,,,,,,29,KIA CUAUTITLÁN
 Estado de México,KIA METEPEC,,,,,,30,KIA METEPEC
 Estado de México,KIA SATÉLITE,,,,,,31,KIA SATÉLITE
 Estado de México,KIA TEXCOCO,,,,,,32,KIA TEXCOCO
 Estado de México,KIA ECATEPEC,,,,,,33,KIA ECATEPEC
 Estado de México,KIA COACALCO,,,,,,34,KIA COACALCO
 Estado de México,KIA ESMERALDA,,,,,,35,KIA ESMERALDA
 Estado de México,KIA LOMAS VERDES,,,,,,36,KIA LOMAS VERDES
 Estado de México,KIA IXTAPALUCA,,,,,,37,KIA IXTAPALUCA
 Guanajuato,KIA POLIFORUM,,,,,,38,KIA POLIFORUM
 Guanajuato,KIA VÍA ALTA,,,,,,39,KIA VÍA ALTA
 Guanajuato,KIA CAMPESTRE,,,,,,40,KIA CAMPESTRE
 Guanajuato,KIA CAPITAL,,,,,,41,KIA CAPITAL
 Guanajuato,KIA VILLAS,,,,,,42,KIA VILLAS
 Guanajuato,KIA BAJIO,,,,,,43,KIA BAJIO
 Guerrero,KIA DIAMANTE,,,,,,44,KIA DIAMANTE
 Hidalgo,KIA CENTER,,,,,,45,KIA CENTER
 Jalisco,KIA VALLARTA,,,,,,46,KIA VALLARTA
 Jalisco,KIA GALERÍAS,,,,,,47,KIA GALERÍAS
 Jalisco,KIA PATRIA,,,,,,48,KIA PATRIA
 Jalisco,KIA LÓPEZ MATEOS,,,,,,49,KIA LÓPEZ MATEOS
 Jalisco,KIA GONZALEZ GALLO,,,,,,50,KIA GONZALEZ GALLO
 Jalisco,KIA COUNTRY CLUB,,,,,,51,KIA COUNTRY CLUB
 Jalisco,KIA SANTA ANITA,,,,,,52,KIA SANTA ANITA
 Michoacan,KIA PARICUTIN,,,,,,53,KIA PARICUTIN
 Michoacan,KIA DEL DUERO,,,,,,54,KIA DEL DUERO
 Michoacan,KIA MIL CUMBRES,,,,,,55,KIA MIL CUMBRES
 Morelos,KIA PRIMAVERA,,,,,,56,KIA PRIMAVERA
 Morelos,KIA MORELOS SUR,,,,,,57,KIA MORELOS SUR
 Nuevo Leon,KIA GONZALITOS,,,,,,58,KIA GONZALITOS
 Nuevo Leon,KIA CUMBRES,,,,,,59,KIA CUMBRES
 Nuevo Leon,KIA SENDERO,,,,,,60,KIA SENDERO
 Nuevo Leon,KIA CARRETERA NACIONAL,,,,,,61,KIA CARRETERA NACIONAL
 Nuevo Leon,KIA VALLE ORIENTE,,,,,,62,KIA VALLE ORIENTE
 Nuevo Leon,KIA LINDA VISTA,,,,,,63,KIA LINDA VISTA
 Oaxaca,KIA SALINA CRUZ,,,,,,64,KIA SALINA CRUZ
 Oaxaca,KIA PLAZA DEL VALLE,,,,,,65,KIA PLAZA DEL VALLE
 Oaxaca,KIA PUERTO ESCONDIDO,,,,,,66,KIA PUERTO ESCONDIDO
 Puebla ,KIA LOS FUERTES,,,,,,67,KIA LOS FUERTES
 Puebla ,KIA SERDÁN,,,,,,68,KIA SERDÁN
 Puebla ,KIA ANGELOPOLIS,,,,,,69,KIA ANGELOPOLIS
 Puebla ,KIA CHOLULA,,,,,,70,KIA CHOLULA
 Puebla ,KIA MANANTIAL,,,,,,71,KIA MANANTIAL
 Querétaro,KIA NOVA QRO,,,,,,72,KIA NOVA QRO
 Querétaro,KIA SAN JUAN,,,,,,73,KIA SAN JUAN
 Querétaro,KIA CORREGIDORA,,,,,,74,KIA CORREGIDORA
 Quintana Roo,KIA BONAMPAK,,,,,,75,KIA BONAMPAK
 Quintana Roo,KIA PLAYACAR,,,,,,76,KIA PLAYACAR
 San Luis Potosí,KIA LOMAS,,,,,,77,KIA LOMAS
 San Luis Potosí,KIA CARRETERA 57,,,,,,78,KIA CARRETERA 57
 Sinaloa,KIA PACIFIC,,,,,,79,KIA PACIFIC
 Sinaloa,KIA COUNTRY,,,,,,80,KIA COUNTRY
 Sinaloa,KIA AHOME,,,,,,81,KIA AHOME
 Sonora,KIA MORELOS,,,,,,82,KIA MORELOS
 Sonora,KIA CAJEME,,,,,,83,KIA CAJEME
 Tabasco,KIA RUIZ CORTINES,,,,,,84,KIA RUIZ CORTINES
 Tamaulipas,KIA VICTORIA,,,,,,85,KIA VICTORIA
 Tamaulipas,KIA AVENIDA,,,,,,86,KIA AVENIDA
 Tamaulipas,KIA FRONTERA,,,,,,87,KIA FRONTERA
 Tamaulipas,KIA LAREDO,,,,,,88,KIA LAREDO
 Tlaxcala,KIA MALINCHE,,,,,,89,KIA MALINCHE
 Veracruz ,KIA ANIMAS,,,,,,90,KIA ANIMAS
 Veracruz ,KIA COATZA,,,,,,91,KIA COATZA
 Veracruz ,KIA BOCA,,,,,,92,KIA BOCA
 Veracruz ,KIA TAJÍN,,,,,,93,KIA TAJÍN
 Veracruz ,KIA ALTAS MONTAÑAS,,,,,,94,KIA ALTAS MONTAÑAS
 Yucatán,KIA NORTE,,,,,,95,KIA NORTE
 Yucatán,KIA PENÍNSULA,,,,,,96,KIA PENÍNSULA
 Zacatecas,KIA BERNARDEZ,,,,,,97,KIA BERNARDEZ
 Zacatecas,KIA FRESNILLO,,,,,,98,KIA FRESNILLO
